y 2015
m 12
p 62.7318 171.242 2016:1:28:8:0:0
p 62.5809 187.273 2016:1:28:9:0:0
p 65.373 202.814 2016:1:28:10:0:0
p 70.7415 217.034 2016:1:28:11:0:0
p 78.1123 229.671 2016:1:28:12:0:0
p 86.821 240.925 2016:1:28:13:0:0
p 87.571 117.939 2016:1:29:4:0:0
p 78.7565 129.079 2016:1:29:5:0:0
p 71.1917 141.576 2016:1:29:6:0:0
p 65.5685 155.67 2016:1:29:7:0:0
p 62.4753 171.158 2016:1:29:8:0:0
p 62.3142 187.252 2016:1:29:9:0:0
p 65.1078 202.853 2016:1:29:10:0:0
p 70.4867 217.121 2016:1:29:11:0:0
p 77.8723 229.79 2016:1:29:12:0:0
p 86.6031 241.067 2016:1:29:13:0:0
p 87.4095 117.728 2016:1:30:4:0:0
p 78.5652 128.883 2016:1:30:5:0:0
p 70.9749 141.403 2016:1:30:6:0:0
p 65.3265 155.534 2016:1:30:7:0:0
p 62.2132 171.076 2016:1:30:8:0:0
p 62.0425 187.234 2016:1:30:9:0:0
p 64.8384 202.897 2016:1:30:10:0:0
p 70.2285 217.212 2016:1:30:11:0:0
p 77.6295 229.916 2016:1:30:12:0:0
p 86.3826 241.216 2016:1:30:13:0:0
p 87.2419 117.516 2016:1:31:4:0:0
p 78.368 128.687 2016:1:31:5:0:0
p 70.7521 141.23 2016:1:31:6:0:0
p 65.0785 155.399 2016:1:31:7:0:0
p 61.9455 170.996 2016:1:31:8:0:0
p 61.7657 187.221 2016:1:31:9:0:0
p 64.5649 202.946 2016:1:31:10:0:0
p 69.967 217.31 2016:1:31:11:0:0
p 77.3843 230.047 2016:1:31:12:0:0
p 86.1596 241.37 2016:1:31:13:0:0
m 2
p 87.068 117.303 2016:2:1:4:0:0
p 78.1648 128.489 2016:2:1:5:0:0
p 70.5234 141.057 2016:2:1:6:0:0
p 64.8248 155.265 2016:2:1:7:0:0
p 61.6723 170.919 2016:2:1:8:0:0
p 61.4841 187.211 2016:2:1:9:0:0
p 64.2873 203 2016:2:1:10:0:0
p 69.7024 217.414 2016:2:1:11:0:0
p 77.1367 230.184 2016:2:1:12:0:0
p 85.9342 241.53 2016:2:1:13:0:0
p 86.8879 117.088 2016:2:2:4:0:0
p 77.9559 128.291 2016:2:2:5:0:0
p 70.289 140.884 2016:2:2:6:0:0
p 64.5654 155.132 2016:2:2:7:0:0
p 61.3938 170.844 2016:2:2:8:0:0
p 61.1978 187.205 2016:2:2:9:0:0
p 64.0058 203.06 2016:2:2:10:0:0
p 69.4347 217.523 2016:2:2:11:0:0
p 76.8867 230.327 2016:2:2:12:0:0
p 85.7066 241.696 2016:2:2:13:0:0
p 86.7019 116.872 2016:2:3:4:0:0
p 77.7413 128.092 2016:2:3:5:0:0
p 70.0489 140.71 2016:2:3:6:0:0
p 64.3005 155 2016:2:3:7:0:0
p 61.11 170.771 2016:2:3:8:0:0
p 60.9068 187.204 2016:2:3:9:0:0
p 63.7205 203.124 2016:2:3:10:0:0
p 69.1642 217.638 2016:2:3:11:0:0
p 76.6346 230.476 2016:2:3:12:0:0
p 85.4769 241.868 2016:2:3:13:0:0
p 86.5098 116.655 2016:2:4:4:0:0
p 77.521 127.893 2016:2:4:5:0:0
p 69.8033 140.537 2016:2:4:6:0:0
p 64.03 154.868 2016:2:4:7:0:0
p 60.8211 170.701 2016:2:4:8:0:0
p 60.6113 187.206 2016:2:4:9:0:0
p 63.4315 203.194 2016:2:4:10:0:0
p 68.8908 217.758 2016:2:4:11:0:0
p 76.3803 230.63 2016:2:4:12:0:0
p 85.2452 242.045 2016:2:4:13:0:0
p 86.3118 116.438 2016:2:5:4:0:0
p 77.2952 127.692 2016:2:5:5:0:0
p 69.5521 140.363 2016:2:5:6:0:0
p 63.7543 154.738 2016:2:5:7:0:0
p 60.5271 170.633 2016:2:5:8:0:0
p 60.3113 187.213 2016:2:5:9:0:0
p 63.139 203.269 2016:2:5:10:0:0
p 68.6147 217.885 2016:2:5:11:0:0
p 76.1241 230.791 2016:2:5:12:0:0
p 85.0117 242.228 2016:2:5:13:0:0
p 86.1081 116.219 2016:2:6:4:0:0
p 77.064 127.491 2016:2:6:5:0:0
p 69.2956 140.19 2016:2:6:6:0:0
p 63.4732 154.609 2016:2:6:7:0:0
p 60.2282 170.568 2016:2:6:8:0:0
p 60.0071 187.223 2016:2:6:9:0:0
p 62.843 203.349 2016:2:6:10:0:0
p 68.3361 218.017 2016:2:6:11:0:0
p 75.866 230.957 2016:2:6:12:0:0
p 84.7765 242.416 2016:2:6:13:0:0
p 85.8986 116 2016:2:7:4:0:0
p 76.8274 127.29 2016:2:7:5:0:0
p 69.0338 140.016 2016:2:7:6:0:0
p 63.187 154.48 2016:2:7:7:0:0
p 59.9245 170.506 2016:2:7:8:0:0
p 59.6986 187.238 2016:2:7:9:0:0
p 62.5437 203.435 2016:2:7:10:0:0
p 68.055 218.155 2016:2:7:11:0:0
p 75.6062 231.129 2016:2:7:12:0:0
p 84.5397 242.61 2016:2:7:13:0:0
p 85.6834 115.779 2016:2:8:4:0:0
p 76.5856 127.088 2016:2:8:5:0:0
p 68.7668 139.843 2016:2:8:6:0:0
p 62.8957 154.353 2016:2:8:7:0:0
p 59.6161 170.446 2016:2:8:8:0:0
p 59.3861 187.257 2016:2:8:9:0:0
p 62.2412 203.526 2016:2:8:10:0:0
p 67.7716 218.299 2016:2:8:11:0:0
p 75.3448 231.306 2016:2:8:12:0:0
p 84.3015 242.809 2016:2:8:13:0:0
p 85.4628 115.559 2016:2:9:4:0:0
p 76.3386 126.886 2016:2:9:5:0:0
p 68.4947 139.669 2016:2:9:6:0:0
p 62.5996 154.227 2016:2:9:7:0:0
p 59.303 170.389 2016:2:9:8:0:0
p 59.0697 187.28 2016:2:9:9:0:0
p 61.9356 203.622 2016:2:9:10:0:0
p 67.486 218.448 2016:2:9:11:0:0
p 75.0818 231.489 2016:2:9:12:0:0
p 84.062 243.014 2016:2:9:13:0:0
p 85.2367 115.337 2016:2:10:4:0:0
p 76.0865 126.683 2016:2:10:5:0:0
p 68.2176 139.496 2016:2:10:6:0:0
p 62.2985 154.102 2016:2:10:7:0:0
p 58.9855 170.334 2016:2:10:8:0:0
p 58.7495 187.308 2016:2:10:9:0:0
p 61.6271 203.724 2016:2:10:10:0:0
p 67.1983 218.603 2016:2:10:11:0:0
p 74.8174 231.678 2016:2:10:12:0:0
p 83.8212 243.224 2016:2:10:13:0:0
p 85.0053 115.115 2016:2:11:4:0:0
p 75.8295 126.48 2016:2:11:5:0:0
p 67.9356 139.323 2016:2:11:6:0:0
p 61.9927 153.979 2016:2:11:7:0:0
p 58.6636 170.282 2016:2:11:8:0:0
p 58.4255 187.339 2016:2:11:9:0:0
p 61.3158 203.831 2016:2:11:10:0:0
p 66.9087 218.764 2016:2:11:11:0:0
p 74.5518 231.872 2016:2:11:12:0:0
p 83.5795 243.439 2016:2:11:13:0:0
p 84.7686 114.893 2016:2:12:4:0:0
p 75.5675 126.277 2016:2:12:5:0:0
p 67.6489 139.15 2016:2:12:6:0:0
p 61.6824 153.856 2016:2:12:7:0:0
p 58.3375 170.233 2016:2:12:8:0:0
p 58.098 187.376 2016:2:12:9:0:0
p 61.0018 203.943 2016:2:12:10:0:0
p 66.6173 218.93 2016:2:12:11:0:0
p 74.285 232.072 2016:2:12:12:0:0
p 83.3367 243.659 2016:2:12:13:0:0
p 84.5268 114.67 2016:2:13:4:0:0
p 75.3008 126.073 2016:2:13:5:0:0
p 67.3575 138.978 2016:2:13:6:0:0
p 61.3675 153.735 2016:2:13:7:0:0
p 58.0072 170.187 2016:2:13:8:0:0
p 57.7669 187.416 2016:2:13:9:0:0
p 60.6852 204.061 2016:2:13:10:0:0
p 66.3242 219.103 2016:2:13:11:0:0
p 74.0171 232.277 2016:2:13:12:0:0
